,Image,F1,Jaccard,Recall,Precision
112,2979.png,0.9403463758819756,0.887409200968523,0.9094292803970223,0.9734395750332006
113,2275.png,0.8911445572278613,0.8036616161616161,0.8056962025316455,0.9968676585747847
114,1866.png,0.5394067796610169,0.3693066434580795,0.3693066434580795,1.0
115,1344.png,0.9358108108108109,0.8793650793650793,0.8993506493506493,0.9753521126760564
116,2137.png,0.7845934379457918,0.6455399061032864,0.9425878320479862,0.6719609040928528
117,2072.png,0.8392721758908265,0.7230568256041803,0.9133663366336634,0.7762973352033661
118,1137.png,0.9318600368324126,0.8724137931034482,0.892416225749559,0.9749518304431599
119,1906.png,0.9444158517756047,0.894685519258898,0.9547346514047866,0.9343177189409368
120,1495.png,0.959265633964429,0.9217199558985667,0.9812206572769953,0.9382716049382716
121,694.png,0.8509951586874663,0.7406367041198502,0.9009111617312073,0.8063200815494393
122,336.png,0.965079365079365,0.9325153374233128,0.9449378330373002,0.9860982391102873
123,1560.png,0.9438444924406048,0.8936605316973415,0.9820224719101124,0.9085239085239085
124,1546.png,0.9449360865290068,0.8956197576887233,0.994824016563147,0.899812734082397
125,1969.png,0.7788461538461539,0.6377952755905512,0.9484777517564403,0.6606851549755302
126,2459.png,0.9582348305752562,0.9198184568835098,0.9765499518149695,0.9405940594059405
127,587.png,0.9759887005649718,0.953103448275862,0.96105702364395,0.9913916786226685
128,2662.png,0.6808295397066262,0.5161042944785276,0.5371109337589784,0.9295580110497238
129,2930.png,0.7831946095917558,0.6436482084690553,1.0,0.6436482084690553
130,943.png,0.9617755856966709,0.9263657957244655,0.9466019417475728,0.9774436090225563
131,1794.png,0.9415204678362573,0.8895027624309392,0.9096045197740112,0.9757575757575757
132,3043.png,0.3853002462587611,0.2386203660253402,1.0,0.2386203660253402
133,2380.png,0.9111567419575632,0.8368116670857431,0.8561872909698997,0.9736688121708601
134,126.png,0.9587628865979382,0.9207920792079208,0.96875,0.9489795918367347
135,1147.png,0.9036269430051813,0.8241965973534972,0.9582417582417583,0.8549019607843137
136,1883.png,0.9375796178343949,0.882494004796163,0.9075215782983971,0.9696969696969697
137,2176.png,0.0,0.0,0.0,0.0
138,2304.png,0.8256390690576115,0.7030539311241065,0.7104399212081418,0.9854280510018215
139,369.png,0.9375736160188458,0.8824833702882483,0.8923766816143498,0.9875930521091811
140,2228.png,0.7626459143968872,0.6163522012578616,0.6533333333333333,0.9158878504672897
141,2114.png,0.9042224510813595,0.825187969924812,0.9924642049736248,0.830390920554855
142,451.png,0.9495798319327732,0.904,0.904,1.0
143,1916.png,0.5572374645222328,0.3862295081967213,0.3862295081967213,1.0
144,2349.png,0.7344345616264294,0.5803212851405622,0.5803212851405622,1.0
145,2530.png,0.5781678551837631,0.4066358024691358,0.9343971631205674,0.4185861795075457
146,1419.png,0.9406099518459068,0.8878787878787879,0.9543973941368078,0.9272151898734177
147,86.png,0.8884527314360484,0.7992937021777516,0.9826338639652678,0.8107462686567164
148,2725.png,0.9006396588486141,0.8192397207137315,0.9415960766830138,0.8630976706170821
149,1013.png,0.9045226130653266,0.8256880733944955,0.9,0.9090909090909091
150,777.png,0.7108843537414966,0.5514511873350924,0.9781591263650546,0.5583259127337489
151,2995.png,0.7715736040609136,0.628099173553719,0.8178807947019867,0.7302291204730229
